Date,School,Opponent
1/7/2016,Michigan State,Illinois
1/7/2016,Middle Tennessee,Texas-El Paso
1/7/2016,Mississippi,Alabama
1/7/2016,Missouri-Kansas City,Seattle
1/7/2016,Montana,Portland State
1/7/2016,Montana State,Sacramento State
1/7/2016,Morehead State,Southeast Missouri State
1/7/2016,Mount St. Mary's,Central Connecticut State
1/7/2016,Murray State,Tennessee Tech
1/7/2016,Niagara,Saint Peter's
1/7/2016,North Carolina State,Louisville
1/7/2016,North Dakota State,Nebraska-Omaha
1/7/2016,Northeastern,Delaware
1/7/2016,Pepperdine,Pacific
1/7/2016,Purdue,Michigan
1/7/2016,Sacred Heart,Fairleigh Dickinson
1/7/2016,San Diego,San Francisco
1/7/2016,Siena,Fairfield
1/7/2016,Southern California,Arizona State
1/7/2016,Southern Methodist,Cincinnati
1/7/2016,Southern Mississippi,Charlotte
1/7/2016,St. Francis (NY),Saint Francis (PA)
1/7/2016,Towson,North Carolina-Wilmington
1/7/2016,UCLA,Arizona
1/7/2016,Utah Valley,New Mexico State
1/7/2016,Wagner,Bryant
1/7/2016,Weber State,North Dakota
1/7/2016,Western Kentucky,Florida International
1/7/2016,Youngstown State,Milwaukee
1/8/2016,Akron,Western Michigan
1/8/2016,Colorado,Utah
1/8/2016,Detroit Mercy,Illinois-Chicago
1/8/2016,Kent State,Buffalo
1/8/2016,Oakland,Valparaiso
1/8/2016,Yale,Daniel Webster
1/9/2016,Air Force,Nevada
1/9/2016,Alabama,Kentucky
1/9/2016,Alabama A&M,Arkansas-Pine Bluff
1/9/2016,Alabama-Birmingham,Texas-El Paso
1/9/2016,Alabama State,Mississippi Valley State
1/9/2016,Alcorn State,Jackson State
1/9/2016,American,Lehigh
1/9/2016,Appalachian State,Texas State
1/9/2016,Arkansas,Mississippi State
1/9/2016,Arkansas-Little Rock,Louisiana-Monroe
1/9/2016,Arkansas State,Louisiana-Lafayette
1/9/2016,Austin Peay,Tennessee Tech
1/9/2016,Belmont,Eastern Illinois
1/9/2016,Boise State,Fresno State
1/9/2016,Boston University,Lafayette
1/9/2016,Bowling Green State,Central Michigan
1/9/2016,Brigham Young,San Francisco
1/9/2016,Brown,Daniel Webster
1/9/2016,Bucknell,Holy Cross
1/9/2016,Cal State Fullerton,Cal State Northridge
1/9/2016,UC-Irvine,UC-Riverside
1/9/2016,Canisius,Saint Peter's
1/9/2016,Central Arkansas,Lamar
1/9/2016,Charleston Southern,North Carolina-Asheville
1/9/2016,Chicago State,Seattle
1/9/2016,Citadel,Mercer
1/9/2016,Cleveland State,Milwaukee
1/9/2016,Colgate,Navy
1/9/2016,Columbia,Central Pennsylvania College
1/9/2016,Connecticut,Memphis
1/9/2016,Davidson,George Mason
1/9/2016,Delaware,North Carolina-Wilmington
1/9/2016,Denver,IPFW
1/9/2016,Drexel,College of Charleston
1/9/2016,Duke,Virginia Tech
1/9/2016,East Tennessee State,North Carolina-Greensboro
1/9/2016,Eastern Kentucky,Southeast Missouri State
1/9/2016,Eastern Washington,Idaho
1/9/2016,Elon,Hofstra
1/9/2016,Evansville,Bradley
1/9/2016,Fairleigh Dickinson,Central Connecticut State
1/9/2016,Florida,Louisiana State
1/9/2016,Florida Gulf Coast,Stetson
1/9/2016,Furman,Chattanooga
1/9/2016,Gardner-Webb,Radford
1/9/2016,George Washington,Duquesne
1/9/2016,Georgetown,DePaul
1/9/2016,Georgia Southern,Troy
1/9/2016,Georgia State,South Alabama
1/9/2016,Georgia Tech,Virginia
1/9/2016,Gonzaga,Portland
1/9/2016,Grand Canyon,New Mexico State
1/9/2016,Hampton,Bethune-Cookman
1/9/2016,Harvard,Dartmouth
1/9/2016,Hawaii,UC-Santa Barbara
1/9/2016,High Point,Presbyterian
1/9/2016,Houston Baptist,Southeastern Louisiana
1/9/2016,Howard,Coppin State
1/9/2016,Idaho State,North Dakota
1/9/2016,Incarnate Word,Northwestern State
1/9/2016,Indiana State,Illinois State
1/9/2016,Iona,Marist
1/9/2016,Iowa State,Baylor
1/9/2016,James Madison,Towson
1/9/2016,Kennesaw State,Lipscomb
1/9/2016,La Salle,Dayton
1/9/2016,Liberty,Campbell
1/9/2016,Long Beach State,UC-Davis
1/9/2016,Long Island University,Saint Francis (PA)
1/9/2016,Longwood,Coastal Carolina
1/9/2016,Louisiana Tech,Charlotte
1/9/2016,Loyola (IL),Missouri State
1/9/2016,Loyola Marymount,Pacific
1/9/2016,Loyola (MD),Army
1/9/2016,Marquette,St. John's (NY)
1/9/2016,Marshall,Florida International
1/9/2016,Maryland-Baltimore County,Maine
1/9/2016,Massachusetts,St. Bonaventure
1/9/2016,McNeese State,Texas A&M-Corpus Christi
1/9/2016,Miami (FL),Florida State
1/9/2016,Miami (OH),Toledo
1/9/2016,Middle Tennessee,Texas-San Antonio
1/9/2016,Minnesota,Northwestern
1/9/2016,Mississippi,Georgia
1/9/2016,Missouri,Auburn
1/9/2016,Missouri-Kansas City,Cal State Bakersfield
1/9/2016,Monmouth,Quinnipiac
1/9/2016,Montana,Sacramento State
1/9/2016,Montana State,Portland State
1/9/2016,Morehead State,Tennessee-Martin
1/9/2016,Morgan State,Delaware State
1/9/2016,Mount St. Mary's,Bryant
1/9/2016,Murray State,Jacksonville State
1/9/2016,New Hampshire,Binghamton
1/9/2016,New Mexico,Utah State
1/9/2016,Niagara,Manhattan
1/9/2016,Nicholls State,Abilene Christian
1/9/2016,NJIT,South Carolina Upstate
1/9/2016,Norfolk State,Florida A&M
1/9/2016,North Florida,Jacksonville
1/9/2016,North Texas,Rice
1/9/2016,Northern Illinois,Eastern Michigan
1/9/2016,Northern Iowa,Drake
1/9/2016,Northern Kentucky,Wright State
1/9/2016,Notre Dame,Pittsburgh
1/9/2016,Ohio,Ball State
1/9/2016,Oklahoma,Kansas State
1/9/2016,Oral Roberts,North Dakota State
1/9/2016,Oregon State,University of California
1/9/2016,Pennsylvania,Princeton
1/9/2016,Pepperdine,Saint Mary's (CA)
1/9/2016,Rider,Fairfield
1/9/2016,Rutgers,Nebraska
1/9/2016,Sacred Heart,Wagner
1/9/2016,Sam Houston State,New Orleans
1/9/2016,San Diego,Santa Clara
1/9/2016,San Jose State,Colorado State
1/9/2016,Savannah State,North Carolina A&T
1/9/2016,Seton Hall,Creighton
1/9/2016,South Carolina,Vanderbilt
1/9/2016,South Carolina State,North Carolina Central
1/9/2016,South Dakota,Nebraska-Omaha
1/9/2016,Southern,Grambling
1/9/2016,Southern California,Arizona
1/9/2016,Southern Illinois,Wichita State
1/9/2016,Southern Mississippi,Old Dominion
1/9/2016,Southern Utah,Northern Arizona
1/9/2016,St. Francis (NY),Robert Morris
1/9/2016,Stony Brook,Massachusetts-Lowell
1/9/2016,Syracuse,North Carolina
1/9/2016,Temple,East Carolina
1/9/2016,Tennessee,Texas A&M
1/9/2016,Tennessee State,Southern Illinois-Edwardsville
1/9/2016,Texas Christian,Texas
1/9/2016,Texas Southern,Prairie View
1/9/2016,Texas Tech,Kansas
1/9/2016,UCLA,Arizona State
1/9/2016,Utah Valley,Texas-Rio Grande Valley
1/9/2016,Vermont,Albany (NY)
1/9/2016,Washington State,Washington
1/9/2016,Weber State,Northern Colorado
1/9/2016,West Virginia,Oklahoma State
1/9/2016,Western Carolina,Virginia Military Institute
1/9/2016,Western Illinois,IUPUI
1/9/2016,Western Kentucky,Florida Atlantic
1/9/2016,William & Mary,Northeastern
1/9/2016,Wisconsin,Maryland
1/9/2016,Wofford,Samford
1/9/2016,Wyoming,Nevada-Las Vegas
1/9/2016,Youngstown State,Green Bay
1/10/2016,Butler,Villanova
1/10/2016,Clemson,Louisville
1/10/2016,Detroit Mercy,Valparaiso
1/10/2016,Fordham,Richmond
1/10/2016,Illinois,Purdue
1/10/2016,Indiana,Ohio State
1/10/2016,Oakland,Illinois-Chicago
1/10/2016,Oregon,Stanford
1/10/2016,Penn State,Michigan State
1/10/2016,Saint Joseph's,Rhode Island
1/10/2016,Saint Louis,Virginia Commonwealth
1/10/2016,South Florida,Cincinnati
1/10/2016,Southern Methodist,Central Florida
1/10/2016,Tulane,Tulsa
1/10/2016,Wake Forest,North Carolina State
1/11/2016,Alabama A&M,Mississippi Valley State
1/11/2016,Alabama State,Arkansas-Pine Bluff
1/11/2016,Alcorn State,Grambling
1/11/2016,Chicago State,Cal State Bakersfield
1/11/2016,Delaware State,Howard
1/11/2016,East Tennessee State,Virginia Military Institute
1/11/2016,Fairfield,Monmouth
1/11/2016,Furman,Samford
1/11/2016,Hampton,Florida A&M
1/11/2016,Lamar,Texas A&M-Corpus Christi
1/11/2016,Lehigh,Bucknell
1/11/2016,Maryland-Eastern Shore,Morgan State
1/11/2016,New Orleans,Incarnate Word
1/11/2016,Norfolk State,Bethune-Cookman
1/11/2016,Sam Houston State,Southeastern Louisiana
1/11/2016,Savannah State,North Carolina Central
1/11/2016,South Carolina State,North Carolina A&T
1/11/2016,Southern,Jackson State
1/11/2016,Western Carolina,North Carolina-Greensboro
1/11/2016,Winthrop,Ferrum
1/11/2016,Wofford,Chattanooga
1/12/2016,Abilene Christian,Northwestern State
1/12/2016,Albany (NY),New Hampshire
1/12/2016,Central Michigan,Akron
1/12/2016,Creighton,Providence
1/12/2016,Dartmouth,Canisius
1/12/2016,Dayton,Davidson
1/12/2016,Eastern Michigan,Buffalo
1/12/2016,Evansville,Drake
1/12/2016,Harvard,Ryerson
1/12/2016,Kansas State,Texas Tech
1/12/2016,Kent State,Miami (OH)
1/12/2016,Kentucky,Mississippi State
1/12/2016,Massachusetts,George Washington
1/12/2016,Michigan,Maryland
1/12/2016,Missouri,Arkansas
1/12/2016,Nebraska,Minnesota
1/12/2016,Nevada-Las Vegas,New Mexico
1/12/2016,Northwestern,Wisconsin
1/12/2016,Ohio,Bowling Green State
1/12/2016,South Florida,Tulane
1/12/2016,Southern Illinois,Illinois State
1/12/2016,Stephen F. Austin,Central Arkansas
1/12/2016,Texas,Iowa State
1/12/2016,Texas A&M,Florida
1/12/2016,Toledo,Northern Illinois
1/12/2016,Utah State,Air Force
1/12/2016,Vanderbilt,Auburn
1/12/2016,Virginia,Miami (FL)
1/12/2016,West Virginia,Kansas
1/12/2016,Western Michigan,Ball State
1/12/2016,Xavier,DePaul
1/13/2016,Alabama,South Carolina
1/13/2016,American,Boston University
1/13/2016,Baylor,Texas Christian
1/13/2016,Binghamton,Hartford
1/13/2016,Cincinnati,Houston
1/13/2016,Clemson,Duke
1/13/2016,Colgate,Army
1/13/2016,Colorado,Oregon State
1/13/2016,Colorado State,San Diego State
1/13/2016,Duquesne,Saint Louis
1/13/2016,East Carolina,Southern Methodist
1/13/2016,George Mason,Saint Joseph's
1/13/2016,Georgia,Tennessee
1/13/2016,Houston Baptist,Nicholls State
1/13/2016,Indiana State,Northern Iowa
1/13/2016,Lafayette,Holy Cross
1/13/2016,Louisiana State,Mississippi
1/13/2016,Loyola (IL),Bradley
1/13/2016,Massachusetts-Lowell,Maine
1/13/2016,Memphis,Temple
1/13/2016,Missouri State,Wichita State
1/13/2016,Navy,Loyola (MD)
1/13/2016,Nevada,Boise State
1/13/2016,North Carolina State,Florida State
1/13/2016,North Dakota State,South Dakota
1/13/2016,Notre Dame,Georgia Tech
1/13/2016,Ohio State,Rutgers
1/13/2016,Oklahoma State,Oklahoma
1/13/2016,Purdue,Penn State
1/13/2016,Richmond,La Salle
1/13/2016,San Jose State,Wyoming
1/13/2016,Southeast Missouri State,Jacksonville State
1/13/2016,St. Bonaventure,Rhode Island
1/13/2016,St. John's (NY),Georgetown
1/13/2016,Stony Brook,Maryland-Baltimore County
1/13/2016,Syracuse,Boston College
1/13/2016,Tennessee-Martin,Tennessee Tech
1/13/2016,UCLA,Southern California
1/13/2016,Villanova,Marquette
1/13/2016,Virginia Commonwealth,Fordham
1/13/2016,Virginia Tech,Wake Forest
1/14/2016,Arizona,Washington
1/14/2016,Arizona State,Washington State
1/14/2016,Arkansas-Little Rock,Appalachian State
1/14/2016,Belmont,Murray State
1/14/2016,Bryant,St. Francis (NY)
1/14/2016,Cal Poly,UC-Santa Barbara
1/14/2016,UC-Davis,Cal State Northridge
1/14/2016,UC-Riverside,Hawaii
1/14/2016,Campbell,Longwood
1/14/2016,Central Connecticut State,Sacred Heart
1/14/2016,Charleston Southern,Liberty
1/14/2016,Charlotte,Middle Tennessee
1/14/2016,Chattanooga,Western Carolina
1/14/2016,Citadel,Wofford
1/14/2016,Coastal Carolina,Presbyterian
1/14/2016,College of Charleston,William & Mary
1/14/2016,Delaware,Towson
1/14/2016,Eastern Illinois,Eastern Kentucky
1/14/2016,Eastern Washington,Southern Utah
1/14/2016,Elon,North Carolina-Wilmington
1/14/2016,Florida Atlantic,Southern Mississippi
1/14/2016,Florida Gulf Coast,NJIT
1/14/2016,Florida International,Louisiana Tech
1/14/2016,Georgia Southern,Louisiana-Lafayette
1/14/2016,Georgia State,Louisiana-Monroe
1/14/2016,Gonzaga,Brigham Young
1/14/2016,Hofstra,Drexel
1/14/2016,Idaho,Northern Arizona
1/14/2016,Illinois-Chicago,Green Bay
1/14/2016,IUPUI,Oral Roberts
1/14/2016,Jacksonville,Kennesaw State
1/14/2016,Long Beach State,UC-Irvine
1/14/2016,Louisville,Pittsburgh
1/14/2016,Mercer,Furman
1/14/2016,Michigan State,Iowa
1/14/2016,New Mexico State,Missouri-Kansas City
1/14/2016,North Dakota,Montana State
1/14/2016,North Florida,Lipscomb
1/14/2016,North Texas,Marshall
1/14/2016,Northeastern,James Madison
1/14/2016,Northern Colorado,Montana
1/14/2016,Northern Kentucky,Youngstown State
1/14/2016,Old Dominion,Alabama-Birmingham
1/14/2016,Portland,San Diego
1/14/2016,Portland State,Weber State
1/14/2016,Radford,North Carolina-Asheville
1/14/2016,Rice,Western Kentucky
1/14/2016,Rider,Marist
1/14/2016,Robert Morris,Mount St. Mary's
1/14/2016,Sacramento State,Idaho State
1/14/2016,Saint Francis (PA),Fairleigh Dickinson
1/14/2016,Saint Mary's (CA),Pacific
1/14/2016,Samford,East Tennessee State
1/14/2016,San Francisco,Loyola Marymount
1/14/2016,Santa Clara,Pepperdine
1/14/2016,South Alabama,Texas State
1/14/2016,South Dakota State,IPFW
1/14/2016,Southern Illinois-Edwardsville,Morehead State
1/14/2016,Stanford,University of California
1/14/2016,Stetson,South Carolina Upstate
1/14/2016,Tennessee State,Austin Peay
1/14/2016,Texas-Rio Grande Valley,Chicago State
1/14/2016,Troy,Texas-Arlington
1/14/2016,Tulsa,Connecticut
1/14/2016,Utah,Oregon
1/14/2016,Valparaiso,Milwaukee
1/14/2016,Wagner,Long Island University
1/14/2016,Western Illinois,Denver
1/14/2016,Winthrop,High Point
1/14/2016,Wright State,Cleveland State
1/15/2016,Dayton,George Washington
1/15/2016,Fairfield,Niagara
1/15/2016,Illinois State,Evansville
1/15/2016,Iona,Monmouth
1/15/2016,Maine,Albany (NY)
1/15/2016,Manhattan,Canisius
1/15/2016,Quinnipiac,Siena
1/15/2016,Toledo,Akron
1/16/2016,Alabama State,Alabama A&M
1/16/2016,Arizona,Washington State
1/16/2016,Arizona State,Washington
1/16/2016,Arkansas-Pine Bluff,Southern
1/16/2016,Arkansas State,Appalachian State
1/16/2016,Auburn,Kentucky
1/16/2016,Ball State,Miami (OH)
1/16/2016,Belmont,Austin Peay
1/16/2016,Bethune-Cookman,Coppin State
1/16/2016,Boise State,San Diego State
1/16/2016,Bradley,Missouri State
1/16/2016,Bryant,Long Island University
1/16/2016,Bucknell,Colgate
1/16/2016,Buffalo,Central Michigan
1/16/2016,Butler,St. John's (NY)
1/16/2016,Cal Poly,Long Beach State
1/16/2016,Cal State Fullerton,Hawaii
1/16/2016,Cal State Northridge,UC-Riverside
1/16/2016,UC-Santa Barbara,UC-Irvine
1/16/2016,Campbell,Charleston Southern
1/16/2016,Central Florida,East Carolina
1/16/2016,Charlotte,Alabama-Birmingham
1/16/2016,Chattanooga,East Tennessee State
1/16/2016,Citadel,Furman
1/16/2016,Clemson,Miami (FL)
1/16/2016,College of Charleston,Elon
1/16/2016,Colorado State,Utah State
1/16/2016,Columbia,Cornell
1/16/2016,Dartmouth,Pine Manor
1/16/2016,Davidson,Massachusetts
1/16/2016,Delaware,Northeastern
1/16/2016,Detroit Mercy,Oakland
1/16/2016,Duke,Notre Dame
1/16/2016,Duquesne,St. Bonaventure
1/16/2016,Eastern Illinois,Morehead State
1/16/2016,Eastern Michigan,Bowling Green State
1/16/2016,Eastern Washington,Northern Arizona
1/16/2016,Florida A&M,Morgan State
1/16/2016,Florida Atlantic,Louisiana Tech
1/16/2016,Florida Gulf Coast,South Carolina Upstate
1/16/2016,Florida International,Southern Mississippi
1/16/2016,Fresno State,San Jose State
1/16/2016,Georgetown,Villanova
1/16/2016,Georgia,Texas A&M
1/16/2016,Georgia Southern,Louisiana-Monroe
1/16/2016,Georgia State,Louisiana-Lafayette
1/16/2016,Georgia Tech,Virginia Tech
1/16/2016,Gonzaga,San Diego
1/16/2016,Grambling,Prairie View
1/16/2016,Grand Canyon,Utah Valley
1/16/2016,Hartford,Vermont
1/16/2016,High Point,Coastal Carolina
1/16/2016,Hofstra,James Madison
1/16/2016,Holy Cross,Lehigh
1/16/2016,Howard,Harvard
1/16/2016,Idaho,Southern Utah
1/16/2016,Illinois,Nebraska
1/16/2016,Illinois-Chicago,Milwaukee
1/16/2016,IUPUI,Denver
1/16/2016,Jackson State,Texas Southern
1/16/2016,Jacksonville,Lipscomb
1/16/2016,Jacksonville State,Tennessee-Martin
1/16/2016,Kansas,Texas Christian
1/16/2016,Kansas State,Iowa State
1/16/2016,Kent State,Ohio
1/16/2016,Lamar,Northwestern State
1/16/2016,Louisiana State,Arkansas
1/16/2016,Marquette,Xavier
1/16/2016,Maryland,Ohio State
1/16/2016,Maryland-Baltimore County,Massachusetts-Lowell
1/16/2016,McNeese State,Sam Houston State
1/16/2016,Memphis,South Florida
1/16/2016,Mercer,Wofford
1/16/2016,Minnesota,Indiana
1/16/2016,Mississippi,Florida
1/16/2016,Mississippi State,Tennessee
1/16/2016,Mississippi Valley State,Alcorn State
1/16/2016,Navy,Lafayette
1/16/2016,Nebraska-Omaha,IPFW
1/16/2016,Nevada-Las Vegas,Air Force
1/16/2016,New Hampshire,Stony Brook
1/16/2016,New Mexico,Wyoming
1/16/2016,New Mexico State,Chicago State
1/16/2016,New Orleans,Houston Baptist
1/16/2016,North Carolina,North Carolina State
1/16/2016,North Carolina-Asheville,Gardner-Webb
1/16/2016,North Carolina A&T,Hampton
1/16/2016,North Carolina Central,Norfolk State
1/16/2016,North Carolina-Wilmington,William & Mary
1/16/2016,North Dakota,Montana
1/16/2016,North Dakota State,South Dakota State
1/16/2016,North Florida,Kennesaw State
1/16/2016,North Texas,Western Kentucky
1/16/2016,Northern Colorado,Montana State
1/16/2016,Northern Iowa,Loyola (IL)
1/16/2016,Northern Kentucky,Cleveland State
1/16/2016,Northwestern,Penn State
1/16/2016,Oklahoma,West Virginia
1/16/2016,Old Dominion,Middle Tennessee
1/16/2016,Pacific,Bethesda University (CA)
1/16/2016,Pittsburgh,Boston College
1/16/2016,Portland,Brigham Young
1/16/2016,Portland State,Idaho State
1/16/2016,Presbyterian,Radford
1/16/2016,Providence,Seton Hall
1/16/2016,Rhode Island,La Salle
1/16/2016,Rice,Marshall
1/16/2016,Richmond,Virginia Commonwealth
1/16/2016,Robert Morris,Fairleigh Dickinson
1/16/2016,Sacramento State,Weber State
1/16/2016,Saint Francis (PA),Mount St. Mary's
1/16/2016,Saint Joseph's,Fordham
1/16/2016,Samford,Western Carolina
1/16/2016,San Francisco,Pepperdine
1/16/2016,Santa Clara,Loyola Marymount
1/16/2016,Savannah State,Maryland-Eastern Shore
1/16/2016,Seattle,Cal State Bakersfield
1/16/2016,South Alabama,Texas-Arlington
1/16/2016,South Carolina,Missouri
1/16/2016,South Carolina State,Delaware State
1/16/2016,Southeastern Louisiana,Incarnate Word
1/16/2016,Southern Illinois-Edwardsville,Eastern Kentucky
1/16/2016,St. Francis (NY),Sacred Heart
1/16/2016,Stephen F. Austin,Abilene Christian
1/16/2016,Stetson,NJIT
1/16/2016,Temple,Cincinnati
1/16/2016,Tennessee State,Murray State
1/16/2016,Tennessee Tech,Southeast Missouri State
1/16/2016,Texas,Oklahoma State
1/16/2016,Texas A&M-Corpus Christi,Nicholls State
1/16/2016,Texas-Rio Grande Valley,Missouri-Kansas City
1/16/2016,Texas-San Antonio,Texas-El Paso
1/16/2016,Texas Tech,Baylor
1/16/2016,Towson,Drexel
1/16/2016,Troy,Texas State
1/16/2016,Valparaiso,Green Bay
1/16/2016,Vanderbilt,Alabama
1/16/2016,Wagner,Central Connecticut State
1/16/2016,Wake Forest,Syracuse
1/16/2016,Western Illinois,Oral Roberts
1/16/2016,Western Michigan,Northern Illinois
1/16/2016,Winthrop,Liberty
1/16/2016,Wright State,Youngstown State
1/16/2016,Yale,Brown
1/17/2016,Army,American
1/17/2016,Colorado,Oregon
1/17/2016,DePaul,Creighton
1/17/2016,Drake,Southern Illinois
1/17/2016,Florida State,Virginia
1/17/2016,Houston,Connecticut
1/17/2016,Iowa,Michigan
1/17/2016,Manhattan,Niagara
1/17/2016,North Carolina-Greensboro,Virginia Military Institute
1/17/2016,Quinnipiac,Canisius
1/17/2016,Rider,Iona
1/17/2016,Saint Louis,George Mason
1/17/2016,Saint Peter's,Marist
1/17/2016,Tulane,Southern Methodist
1/17/2016,Utah,Oregon State
1/17/2016,Wichita State,Indiana State
1/17/2016,Wisconsin,Michigan State
1/18/2016,Albany (NY),Binghamton
1/18/2016,Arkansas-Pine Bluff,Alcorn State
1/18/2016,Arkansas State,Arkansas-Little Rock
1/18/2016,Bethune-Cookman,Morgan State
1/18/2016,Boston University,Loyola (MD)
1/18/2016,Cleveland State,Illinois-Chicago
1/18/2016,Duke,Syracuse
1/18/2016,Florida A&M,Coppin State
1/18/2016,Grambling,Texas Southern
1/18/2016,Hartford,Stony Brook
1/18/2016,Iowa State,Oklahoma
1/18/2016,Jackson State,Prairie View
1/18/2016,Maine,New Hampshire
1/18/2016,Mississippi Valley State,Southern
1/18/2016,Monmouth,Siena
1/18/2016,New Orleans,Stephen F. Austin
1/18/2016,North Carolina A&T,Norfolk State
1/18/2016,North Carolina Central,Hampton
1/18/2016,Rutgers,Purdue
1/18/2016,Sam Houston State,Nicholls State
1/18/2016,Savannah State,Delaware State
1/18/2016,South Carolina State,Maryland-Eastern Shore
1/18/2016,Southeastern Louisiana,Lamar
1/18/2016,Texas Christian,Texas Tech
1/18/2016,Vermont,Massachusetts-Lowell
1/18/2016,Wright State,Detroit Mercy
1/18/2016,Youngstown State,Valparaiso
1/19/2016,Abilene Christian,McNeese State
1/19/2016,Akron,Eastern Michigan
1/19/2016,Auburn,Alabama
1/19/2016,Ball State,Kent State
1/19/2016,Bowling Green State,Toledo
1/19/2016,Central Arkansas,Houston Baptist
1/19/2016,Chicago State,Green Bay
1/19/2016,Connecticut,Tulane
1/19/2016,East Carolina,Tulsa
1/19/2016,Evansville,Loyola (IL)
1/19/2016,Fairfield,Saint Peter's
1/19/2016,Florida,Mississippi State
1/19/2016,Georgia State,Georgia Southern
1/19/2016,Indiana,Illinois
1/19/2016,Liberty,Longwood
1/19/2016,Maryland,Northwestern
1/19/2016,Miami (OH),Buffalo
1/19/2016,Mississippi,South Carolina
1/19/2016,Northern Illinois,Central Michigan
1/19/2016,Northwestern State,Texas A&M-Corpus Christi
1/19/2016,Oakland,Northern Kentucky
1/19/2016,Ohio,Western Michigan
1/19/2016,Oklahoma State,Kansas
1/19/2016,Pittsburgh,North Carolina State
1/19/2016,Providence,Butler
1/19/2016,San Diego State,Fresno State
1/19/2016,Southeast Missouri State,Hannibal-LaGrange
1/19/2016,Southern Methodist,Houston
1/19/2016,St. Bonaventure,Dayton
1/19/2016,Texas A&M,Louisiana State
1/19/2016,Utah State,Nevada-Las Vegas
1/19/2016,Virginia,Clemson
1/19/2016,Wofford,Tennessee Wesleyan
1/19/2016,Xavier,Georgetown
1/20/2016,Air Force,Colorado State
1/20/2016,Baylor,Kansas State
1/20/2016,Boise State,San Jose State
1/20/2016,Boston College,Miami (FL)
1/20/2016,Bradley,Illinois State
1/20/2016,UC-Irvine,Cal State Fullerton
1/20/2016,UC-Santa Barbara,Long Beach State
1/20/2016,Colgate,Boston University
1/20/2016,Drake,Missouri State
1/20/2016,Fordham,George Mason
1/20/2016,Gardner-Webb,Winthrop
1/20/2016,High Point,North Carolina-Asheville
1/20/2016,Holy Cross,Army
1/20/2016,La Salle,Temple
1/20/2016,Lafayette,American
1/20/2016,Lehigh,Navy
1/20/2016,Louisville,Florida State
1/20/2016,Loyola (MD),Bucknell
1/20/2016,Marquette,DePaul
1/20/2016,Michigan,Minnesota
1/20/2016,Michigan State,Nebraska
1/20/2016,Missouri,Georgia
1/20/2016,North Carolina,Wake Forest
1/20/2016,Northern Iowa,Wichita State
1/20/2016,Notre Dame,Virginia Tech
1/20/2016,Oregon State,UCLA
1/20/2016,Pennsylvania,Saint Joseph's
1/20/2016,Presbyterian,Charleston Southern
1/20/2016,Radford,Campbell
1/20/2016,Saint Louis,Davidson
1/20/2016,Seton Hall,Villanova
1/20/2016,South Dakota,Western Illinois
1/20/2016,South Florida,Central Florida
1/20/2016,Southern Illinois,Indiana State
1/20/2016,Tennessee,Vanderbilt
1/20/2016,Virginia Commonwealth,Duquesne
1/20/2016,Washington,Colorado
1/20/2016,West Virginia,Texas
1/20/2016,Wyoming,Nevada
1/21/2016,Alabama-Birmingham,Rice
1/21/2016,Appalachian State,Georgia State
1/21/2016,Arkansas,Kentucky
1/21/2016,Austin Peay,Southern Illinois-Edwardsville
1/21/2016,Binghamton,Vermont
1/21/2016,Bryant,Saint Francis (PA)
1/21/2016,Cal State Bakersfield,Texas-Rio Grande Valley
1/21/2016,Cal State Northridge,Cal Poly
1/21/2016,University of California,Arizona State
1/21/2016,UC-Davis,UC-Riverside
1/21/2016,Central Connecticut State,Robert Morris
1/21/2016,Charlotte,Marshall
1/21/2016,Chicago State,Grand Canyon
1/21/2016,Cincinnati,Memphis
1/21/2016,Denver,Nebraska-Omaha
1/21/2016,East Tennessee State,Mercer
1/21/2016,Eastern Kentucky,Jacksonville State
1/21/2016,Fairleigh Dickinson,Long Island University
1/21/2016,IPFW,North Dakota State
1/21/2016,James Madison,Drexel
1/21/2016,Kennesaw State,Florida Gulf Coast
1/21/2016,Lipscomb,Stetson
1/21/2016,Louisiana-Lafayette,South Alabama
1/21/2016,Louisiana-Monroe,Troy
1/21/2016,Loyola Marymount,Brigham Young
1/21/2016,Manhattan,Monmouth
1/21/2016,Maryland-Baltimore County,Hartford
1/21/2016,Massachusetts-Lowell,New Hampshire
1/21/2016,Middle Tennessee,North Texas
1/21/2016,Missouri-Kansas City,Utah Valley
1/21/2016,Montana,Idaho
1/21/2016,Montana State,Eastern Washington
1/21/2016,Morehead State,Tennessee Tech
1/21/2016,Murray State,Eastern Illinois
1/21/2016,NJIT,Jacksonville
1/21/2016,North Carolina-Greensboro,Chattanooga
1/21/2016,North Carolina-Wilmington,Delaware
1/21/2016,Northeastern,Hofstra
1/21/2016,Northern Arizona,North Dakota
1/21/2016,Old Dominion,Western Kentucky
1/21/2016,Oral Roberts,South Dakota State
1/21/2016,Oregon,Southern California
1/21/2016,Pacific,Portland
1/21/2016,Penn State,Wisconsin
1/21/2016,Pepperdine,San Diego
1/21/2016,Purdue,Ohio State
1/21/2016,Rutgers,Iowa
1/21/2016,Sacred Heart,Mount St. Mary's
1/21/2016,Saint Mary's (CA),Gonzaga
1/21/2016,Santa Clara,San Francisco
1/21/2016,Seattle,New Mexico State
1/21/2016,Siena,Rider
1/21/2016,South Carolina Upstate,North Florida
